Grapheme,Unicode_Hex,Unicode_Names,Frequency,Classification,Reason,Example_Labels
கிாீ,U+0B95 U+0BBF U+0BBE U+0BC0,TAMIL LETTER KA + TAMIL VOWEL SIGN I + TAMIL VOWEL SIGN AA + TAMIL VOWEL SIGN II,18,Suspicious Annotation,Repeated/multiple vowel signs,"images/39946.png	சுக்கிாீவனது || images/40103.png	சுக்கிாீவனும் || images/40132.png	சுக்கிாீவன்,"
ம்்,U+0BAE U+0BCD U+0BCD,TAMIL LETTER MA + TAMIL SIGN VIRAMA + TAMIL SIGN VIRAMA,12,Suspicious Annotation,Repeated viramas,"images/12680.png	""ஆமாம்் || images/19456.png	யாரும்் || images/20403.png	உயரம்்"
து்,U+0BA4 U+0BC1 U+0BCD,TAMIL LETTER TA + TAMIL VOWEL SIGN U + TAMIL SIGN VIRAMA,9,Suspicious Annotation,Virama and vowel sign on the same base character,images/13411.png	கவிழ்ந்தது் || images/14210.png	படுது்தக்கூடிய || images/14383.png	இருக்கிறது்
பாீ,U+0BAA U+0BBE U+0BC0,TAMIL LETTER PA + TAMIL VOWEL SIGN AA + TAMIL VOWEL SIGN II,6,Suspicious Annotation,Repeated/multiple vowel signs,images/12559.png	பாீட்சைக்குப் || images/12560.png	பாீட்சை || images/13491.png	பாீட்சையிலும்
ன்்,U+0BA9 U+0BCD U+0BCD,TAMIL LETTER NNNA + TAMIL SIGN VIRAMA + TAMIL SIGN VIRAMA,6,Suspicious Annotation,Repeated viramas,images/20476.png	இளைஞன்் || images/21391.png	கொண்டான்் || images/23952.png	தோற்றம்தான்்
லை்,U+0BB2 U+0BC8 U+0BCD,TAMIL LETTER LA + TAMIL VOWEL SIGN AI + TAMIL SIGN VIRAMA,4,Suspicious Annotation,Virama and vowel sign on the same base character,images/12814.png	இல்லை் || images/13889.png	ஒன்றுமில்லை் || images/20990.png	பொருளுமில்லை்
"""்",U+0022 U+0BCD,QUOTATION MARK + TAMIL SIGN VIRAMA,4,Suspicious Annotation,Combining mark applied to punctuation/symbol,"images/13280.png	ரோமா""்சனத்தை || images/21918.png	படிக்கிறாள""் || images/24473.png	வேண்டாமஸ""்"
ட்்,U+0B9F U+0BCD U+0BCD,TAMIL LETTER TTA + TAMIL SIGN VIRAMA + TAMIL SIGN VIRAMA,4,Suspicious Annotation,Repeated viramas,"images/20236.png	விட்்டு, || images/23041.png	திறந்துவிட்்டு, || images/28912.png	சாஃப்ட்்வேர்"
ப்ா,U+0BAA U+0BCD U+0BBE,TAMIL LETTER PA + TAMIL SIGN VIRAMA + TAMIL VOWEL SIGN AA,3,Suspicious Annotation,Virama and vowel sign on the same base character,images/7413.png	ப்ாஹ்மணர் || images/57987.png	நினைப்ா?“ || images/60181.png	எப்ாதோ
யுை,U+0BAF U+0BC1 U+0BC8,TAMIL LETTER YA + TAMIL VOWEL SIGN U + TAMIL VOWEL SIGN AI,3,Suspicious Annotation,Repeated/multiple vowel signs,"images/7936.png	மகளியுைம், || images/9449.png	அத்தீயையுைம் || images/71830.png	அழயுைம்,"
