Label,Reason
images/7413.png	ப்ாஹ்மணர்,Virama and vowel sign on the same base character
images/7442.png	மயிா,Repeated/multiple vowel signs
"images/7936.png	மகளியுைம்,",Repeated/multiple vowel signs
images/8517.png	பேசவேண்ாம்.,Virama and vowel sign on the same base character
images/8774.png	பரம்பயிைலேயே,Repeated/multiple vowel signs
images/9449.png	அத்தீயையுைம்,Repeated/multiple vowel signs
images/10813.png	வரனாாகத்,Duplicated combining marks
images/11260.png	ஸ்திாீயும்,Repeated/multiple vowel signs
images/11763.png	பாாக்க,Duplicated combining marks
"images/12122.png	பெண்,்",Combining mark applied to punctuation/symbol
images/12333.png	இலெ்லாம்,Virama and vowel sign on the same base character
images/12474.png	கிறனே்.,Virama and vowel sign on the same base character
images/12559.png	பாீட்சைக்குப்,Repeated/multiple vowel signs
images/12560.png	பாீட்சை,Repeated/multiple vowel signs
"images/12680.png	""ஆமாம்்",Repeated viramas
images/12814.png	இல்லை்,Virama and vowel sign on the same base character
images/12823.png	எல்லாகஎ்,Combining marks applied to independent vowel
images/12973.png	ஸ்திாீ,Repeated/multiple vowel signs
"images/13280.png	ரோமா""்சனத்தை",Combining mark applied to punctuation/symbol
images/13411.png	கவிழ்ந்தது்,Virama and vowel sign on the same base character
images/13491.png	பாீட்சையிலும்,Repeated/multiple vowel signs
images/13496.png	பாீட்சையிலும்,Repeated/multiple vowel signs
images/13702.png	ஸ்தாீகள்,Repeated/multiple vowel signs
images/13886.png	விடுங்கள்்,Repeated viramas
images/13889.png	ஒன்றுமில்லை்,Virama and vowel sign on the same base character
images/14210.png	படுது்தக்கூடிய,Virama and vowel sign on the same base character
images/14372.png	எானே,Combining marks applied to independent vowel
images/14383.png	இருக்கிறது்,Virama and vowel sign on the same base character
images/14466.png	பிரணுாேஜனம்?,Repeated/multiple vowel signs
images/14590.png	வேண்டு்ம்.,Virama and vowel sign on the same base character
images/16167.png	எல்ாம்,Virama and vowel sign on the same base character
images/17106.png	கிறாாகளாம்.,Duplicated combining marks
"images/19421.png	திரும்பவில்லை,்",Combining mark applied to punctuation/symbol
images/19456.png	யாரும்்,Repeated viramas
images/19754.png	பாீட்சை,Repeated/multiple vowel signs
images/19825.png	அவனி்டம்,Virama and vowel sign on the same base character
images/19844.png	விழி்ப்பதைப்,Virama and vowel sign on the same base character
images/20061.png	கவனித்ததி்ல்லை,Virama and vowel sign on the same base character
images/20067.png	அவனு்ககுத்,Virama and vowel sign on the same base character
images/20209.png	புதிுயவிழிகளோடு,Repeated/multiple vowel signs
"images/20236.png	விட்்டு,",Repeated viramas
images/20403.png	உயரம்்,Repeated viramas
images/20404.png	மாநிறம்்,Repeated viramas
images/20410.png	முகம்்,Repeated viramas
images/20426.png	ஙஇன்ஐினியரிங்,Combining marks applied to independent vowel
images/20476.png	இளைஞன்்,Repeated viramas
images/20741.png	வெ்வவேறு,Virama and vowel sign on the same base character
images/20848.png	நடமாடியிருந்தால்ி,Virama and vowel sign on the same base character
images/20907.png	விரும்்பியபடியே,Repeated viramas
images/20990.png	பொருளுமில்லை்,Virama and vowel sign on the same base character
images/21391.png	கொண்டான்்,Repeated viramas
images/21566.png	பாீட்சை,Repeated/multiple vowel signs
images/21643.png	அண்ணாமலைை,Duplicated combining marks
images/21690.png	கூவிக்கொண்்டே,Repeated viramas
images/21692.png	மோதியது்,Virama and vowel sign on the same base character
images/21908.png	விருந்தில்லே்,Virama and vowel sign on the same base character
"images/21918.png	படிக்கிறாள""்",Combining mark applied to punctuation/symbol
images/21975.png	நடத்்தவேண்டும்.,Repeated viramas
images/22262.png	படுத்து்,Virama and vowel sign on the same base character
images/22334.png	செய்தியைும்,Repeated/multiple vowel signs
images/22343.png	இருக்கும்்,Repeated viramas
images/22378.png	வில்லை்.,Virama and vowel sign on the same base character
images/22562.png	கண்ணீ்ர்,Virama and vowel sign on the same base character
images/22751.png	மாணிுக்கத்தின்,Repeated/multiple vowel signs
images/22865.png	சுாரதாவுக்கு,Repeated/multiple vowel signs
images/22869.png	ஏற்படவி்ல்லை.,Virama and vowel sign on the same base character
images/22993.png	விரும்்பவில்லை.,Repeated viramas
"images/23041.png	திறந்துவிட்்டு,",Repeated viramas
images/23434.png	சுாவை,Repeated/multiple vowel signs
images/23450.png	போனோமஸ'்,Combining mark applied to punctuation/symbol
images/23850.png	திரும்பாாமல்,Duplicated combining marks
images/23913.png	கொடுத்திருக்கிறார்்,Repeated viramas
images/23952.png	தோற்றம்தான்்,Repeated viramas
images/24039.png	தள்ளுங்கள்்,Repeated viramas
images/24134.png	இருந்தது்,Virama and vowel sign on the same base character
images/24136.png	கொட்டியது்,Virama and vowel sign on the same base character
"images/24164.png	""ஆமாம்்",Repeated viramas
"images/24473.png	வேண்டாமஸ""்",Combining mark applied to punctuation/symbol
images/24508.png	கம்மியது்,Virama and vowel sign on the same base character
images/24867.png	கலைஞு்ர்,Virama and vowel sign on the same base character
images/24940.png	விட்டான்்,Repeated viramas
images/26434.png	அமர்திநெஞ்்சே.,Repeated viramas
images/26641.png	மின்்,Repeated viramas
images/26665.png	அயனநனைேைேயை.உடிஅ,Duplicated combining marks
images/26893.png	மை்கரோசாஃப்ட்,Virama and vowel sign on the same base character
images/27016.png	பண்புகளில்்,Repeated viramas
images/27409.png	கணிப்பொறயினி்,Virama and vowel sign on the same base character
"images/27725.png	டி-லி்ங்க்,",Virama and vowel sign on the same base character
images/28120.png	துாண்டும்,Repeated/multiple vowel signs
images/28201.png	பயன்படுத்தப்்படுகினற,Repeated viramas
images/28223.png	மிகச்்சிறிய,Repeated viramas
images/28392.png	விளயாைட்டுகளுக்,Repeated/multiple vowel signs
images/28400.png	திறம்்படச்,Repeated viramas
images/28531.png	விரு்பபதினை,Virama and vowel sign on the same base character
images/28912.png	சாஃப்ட்்வேர்,Repeated viramas
"images/29112.png	பகுதிுயிலும்,",Repeated/multiple vowel signs
images/29317.png	தொடங்கிவிட்்டன.,Repeated viramas
images/29408.png	கல்லுாரி,Repeated/multiple vowel signs
images/30210.png	உரியாைேடு,Repeated/multiple vowel signs
images/30966.png	கும்பலன்ு,Virama and vowel sign on the same base character
images/32839.png	கருணாைய்ச்,Repeated/multiple vowel signs
images/37042.png	ஆயிரக்கணக்ான,Virama and vowel sign on the same base character
images/39751.png	இறங்கிானல்,Repeated/multiple vowel signs
images/39941.png	இருங்கள்்,Repeated viramas
images/39946.png	சுக்கிாீவனது,Repeated/multiple vowel signs
images/40103.png	சுக்கிாீவனும்,Repeated/multiple vowel signs
"images/40132.png	சுக்கிாீவன்,",Repeated/multiple vowel signs
"images/40187.png	சுக்கிாீவன்,",Repeated/multiple vowel signs
images/40334.png	சுக்கிாீவன்,Repeated/multiple vowel signs
images/40412.png	சக்கிாீவன்,Repeated/multiple vowel signs
images/40415.png	சுக்கிாீவனை,Repeated/multiple vowel signs
images/40463.png	சுக்கிாீவனிடம்,Repeated/multiple vowel signs
images/40490.png	சுக்கிாீவன்,Repeated/multiple vowel signs
images/40502.png	களே்,Virama and vowel sign on the same base character
images/40507.png	சிந்திப்போம்்,Repeated viramas
images/40525.png	பாாேத்திய,Duplicated combining marks
images/40535.png	சுக்கிாீவனையும்,Repeated/multiple vowel signs
images/40667.png	சேரும்்,Repeated viramas
"images/40679.png	சுக்கிாீவனுக்கு,",Repeated/multiple vowel signs
images/40830.png	வருகின்றேன்்,Repeated viramas
images/40879.png	சுக்கிாீவன்,Repeated/multiple vowel signs
images/40902.png	வாாத்தைகளைக்,Duplicated combining marks
images/40921.png	சுக்கிாீவனைக்,Repeated/multiple vowel signs
images/40964.png	சுக்கிாீவனும்,Repeated/multiple vowel signs
images/40990.png	இ்டங்களிலும்,Combining marks applied to independent vowel
"images/41089.png	சுக்கிாீவன்,",Repeated/multiple vowel signs
images/41124.png	வழியிுனை,Repeated/multiple vowel signs
"images/41143.png	அனுான்,",Repeated/multiple vowel signs
images/41159.png	சுக்கிாீவன்,Repeated/multiple vowel signs
